6ᯅ9 lonely
(=ФェФ=) cat
ԅ(≖‿≖ԅ) creep
(╥﹏╥) cry
x⸑x dead
(̿▀̿ ̿Ĺ̯̿̿▀̿̿)̄ dong
(-ʖ̯-) idc
(≧︿≦) duh
(-(-_-(-_(-_(-_-)_-)-_-)_-)_-)-) eeriemob
(͠≖͜ʖ͠≖) evillenny
(╯°□°)╯︵ʞooqǝɔɐɟ facebook
ψ(｀∇´)ψ evil
┌П┐(ಠ_ಠ) fuckyou
~\(≧▽≦)/~ kiahh
_(:3」∠)_ lazy
███▒▒▒▒▒▒▒ loading
-`ღ´- luv
ಡ_ಡ mistyeyes
ಠ_ಠ meh
(⌐⊙_⊙) nerd
༼༎ຶ෴༎ຶ༽ monster, need to add space
(눈_눈) orly
t(ಠ益ಠt) rage
ε(´סּ︵סּ`)з sad
(;´༎ຶД༎ຶ`) sob
(̿▀̿‿ ̿▀̿ ̿) swag
o()xxxx[{::::::::::::::::::> sword
(=____=) tired
(ಥ﹏ಥ) tears
(ÒДÓױ) wht
(*^*)ノシ wave, need to add space
⊙ω⊙ wut
